lambda_slow,p_fast
0.140747356,0.245422903
0.496179789,0.304306475
0.430566056,0.234665792
0.389834217,0.344766367
0.175618286,0.216719029
0.250237004,0.323566289
0.546177507,0.213399073
0.332012527,0.335962118
0.47836196,0.187358893
0.181851889,0.271874527
0.416499183,0.261045636
0.753662369,0.252357371
0.802912983,0.226295882
0.303729885,0.283175236
0.605553728,0.238721279
0.324872944,0.251623298
0.121132803,0.271434065
0.591382015,0.253896734
0.334918537,0.321525062
0.253703059,0.216393977
0.253593186,0.296602577
0.468597237,0.267508931
1.950770828,0.225932889
0.983314158,0.279384979
0.066565798,0.215487567
0.675881741,0.267959614
0.456427331,0.266824661
0.217350343,0.253928637
0.203759343,0.308589826
0.197859461,0.247102209
0.311160891,0.198597387
0.576675994,0.247481556
0.291103715,0.232170394
0.217234344,0.251579911
0.196287001,0.259317478
0.643981667,0.317743804
0.588431298,0.258704745
0.279543168,0.238002025
0.358650837,0.264737848
0.239649334,0.333758053
0.238599026,0.270817018
0.092392147,0.296272121
0.854587725,0.24811823
0.336383343,0.315179024
1.00658264,0.246051455
0.678231919,0.344573103
0.504483884,0.140093645
0.177369169,0.294888356
0.73101519,0.235912251
0.23122282,0.211755371
0.112399815,0.287381643
0.363068072,0.284736557
0.22120383,0.344676964
0.662265366,0.292062396
0.501555455,0.263986081
1.195283911,0.220045667
0.723881378,0.164816887
0.438065992,0.165531951
0.081528374,0.206144372
1.229173465,0.213173867
1.004432518,0.271237407
0.301350912,0.263575408
0.311111883,0.186140668
0.367446455,0.241499929
0.179379997,0.350723166
0.28560699,0.246718053
0.715160161,0.235727716
1.404466489,0.211583963
0.180202842,0.232457361
0.317642184,0.321001997
0.690308627,0.213889353
0.261930474,0.278521714
0.546343912,0.245718187
0.96134817,0.278212052
0.193974781,0.2751059
0.298646601,0.273269016
0.532668286,0.292997372
0.532928572,0.239311561
0.092072944,0.320657322
1.276939592,0.285481823
0.86717612,0.384733628
0.522754348,0.244284086
0.269383084,0.239005912
0.918696323,0.306432065
0.362448395,0.268696268
0.0568373,0.342598107
0.273324997,0.297352891
0.313710849,0.260418422
0.621611964,0.224036099
0.155604165,0.328506264
0.554021391,0.215604309
0.495447021,0.226250518
0.33010739,0.206147189
0.395620085,0.262261985
0.447789798,0.206350663
0.355430432,0.31783949
0.861369575,0.321364071
0.663443377,0.301051526
0.295532564,0.264537187
0.20868787,0.262622551
0.231911933,0.250591109
0.28130183,0.243160829
0.378243509,0.289752982
0.215478562,0.359001672
0.22745057,0.274581744
0.363941424,0.314789847
0.196341206,0.215578682
0.403744532,0.325047422
0.444910322,0.212513974
0.093885473,0.277808441
0.222205955,0.201183053
0.41608582,0.316734716
0.401890672,0.265329278
0.173807747,0.252891505
0.48957401,0.34130496
0.209289322,0.339944258
0.518642678,0.274803537
0.423077332,0.270487116
0.308202542,0.27256335
0.260897142,0.272956031
0.415934459,0.240739474
0.180229695,0.284054439
0.209481276,0.27908028
0.295701993,0.293015611
0.324638325,0.243989756
0.697881174,0.222447327
0.271426352,0.268197179
0.368467332,0.240328799
0.19458435,0.248066172
0.307083448,0.260961633
0.378060014,0.287882088
0.825814413,0.264248229
0.938777304,0.214441734
0.308892082,0.281679074
0.240324326,0.193946651
1.156613297,0.274008348
0.75670354,0.260003114
0.396141322,0.299539878
0.73472062,0.182290987
0.192200548,0.295653452
0.380853487,0.229336696
0.368548735,0.234808912
0.653118696,0.202413539
0.492017709,0.230469159
0.257869828,0.183420355
0.076500829,0.247321214
0.770392457,0.268817778
0.768644825,0.309859834
0.925062379,0.162802401
0.129435794,0.247891111
0.108593056,0.2580843
0.398102392,0.305532982
0.513465595,0.221076357
0.163318102,0.256134273
0.199487983,0.249229221
0.457838523,0.330382922
0.540632663,0.3390263
0.053204747,0.263006634
0.413753871,0.315042102
0.410292333,0.268930255
0.257320318,0.24405482
0.396977875,0.210091281
0.316119138,0.341810008
0.529115413,0.189312234
0.229263665,0.207385408
0.644459303,0.196038794
0.374925775,0.221666214
0.845822972,0.201807895
0.125711326,0.334077877
0.42153946,0.295011055
0.082268489,0.324691227
0.302716636,0.258598669
0.120209365,0.244273287
0.334447984,0.271913208
0.542152016,0.257209913
0.05397517,0.246644133
0.387426895,0.249421757
0.608192894,0.235281189
0.131380584,0.260391418
0.750940421,0.293336011
0.396230764,0.273645462
0.610802448,0.183022924
0.585187367,0.294710946
0.459423968,0.314783145
0.41117627,0.262998251
0.074749091,0.334713682
0.898022301,0.179043651
0.621324472,0.199235358
1.114223533,0.174185158
0.205843232,0.25987428
1.273871913,0.17407985
0.206936759,0.3464903
0.214599017,0.213653189
0.182323657,0.114930998
0.273246348,0.305122806
0.678686293,0.243003167
0.122398232,0.190799968
0.390531494,0.209556063
0.423476666,0.280274392
0.946923644,0.255460932
0.150554568,0.207354064
0.373941369,0.259369907
0.388044116,0.295074104
0.175379843,0.313994447
0.864653392,0.286293477
0.421623047,0.24910424
0.204434274,0.164037885
0.022638163,0.292196906
0.65019166,0.26606971
0.688818527,0.336446448
0.22628072,0.261510098
1.454159887,0.191872641
0.332165265,0.218404904
0.118820932,0.272185497
0.064754474,0.3167236
0.266036198,0.270711058
0.202047751,0.249408657
0.200921878,0.231086253
0.391083012,0.278833268
1.357948623,0.235223196
0.321956054,0.241337363
0.341814168,0.305184898
0.084138833,0.275102716
0.671023257,0.253292689
0.635717062,0.314086329
0.24458584,0.32602325
0.336645194,0.34160813
