lambda_slow,p_fast
0.698297727,0.17695746
0.610774801,0.296698543
0.809651413,0.195659031
0.795027244,0.235275228
0.599082911,0.223677669
0.820249782,0.2134603
0.804808864,0.167231236
0.896852158,0.191625348
0.574542278,0.220132359
0.798089608,0.222413781
0.816982526,0.197248236
0.701529677,0.202349366
0.602528548,0.229416153
0.757017858,0.183835642
0.65665519,0.228078608
0.791025646,0.196983643
0.629567537,0.255630403
0.738449651,0.235814932
0.804524048,0.201139189
0.73157625,0.224350721
0.820587191,0.208871104
0.921448847,0.201525026
0.745587684,0.174321226
0.588575902,0.180049462
0.659313361,0.207759018
0.626437513,0.219361999
0.730218501,0.260488604
0.775591789,0.133448584
0.777617083,0.147827103
0.67811511,0.216197736
0.716026896,0.160172254
0.766360407,0.230926821
0.701041313,0.188486269
0.639757836,0.200698419
0.670217282,0.18838272
0.712267841,0.205162909
0.771197275,0.160012704
0.743786105,0.159442564
0.783849597,0.17569486
0.732753267,0.138947857
0.698537121,0.201737905
0.778087399,0.25453551
0.652177261,0.211270538
0.731540615,0.200014245
0.747821174,0.25870722
0.846202496,0.230981746
0.715450141,0.254263083
0.683780908,0.167774223
0.723768977,0.211068026
0.715359367,0.171509903
0.695153725,0.17386059
0.706115895,0.189030734
0.737338364,0.200002505
0.590755839,0.206216948
0.664289223,0.194886988
0.606655153,0.208469003
0.804645338,0.208819565
0.659235881,0.243190048
0.792115597,0.215715366
0.781079073,0.229088221
0.857099357,0.234773894
0.781899943,0.239203804
0.662106341,0.233292792
0.807672265,0.234817164
0.660148064,0.182793057
0.674026831,0.138405871
0.705231122,0.223926655
0.836537588,0.16896981
0.83032859,0.238745413
0.820719943,0.217965946
0.660901727,0.207594798
0.788935638,0.195795403
0.685832094,0.221286295
0.803792481,0.17590164
0.652371858,0.161025757
0.881834669,0.160915418
0.683026082,0.232517205
0.745463048,0.226083492
0.894140513,0.205145744
0.812412132,0.24358315
0.685639522,0.255524583
0.675853504,0.158196604
0.659243205,0.150319169
0.677521797,0.225302941
0.77196441,0.194131795
0.731221105,0.221040742
0.625199393,0.166246529
0.760124276,0.233926336
0.648393481,0.218317045
0.57154806,0.203370402
0.721716387,0.201351197
0.739783732,0.240836597
0.863232182,0.186252766
0.656905884,0.136828007
0.63492005,0.191267224
0.640734244,0.23283865
0.7339982,0.202330197
0.70658262,0.222636207
0.673271973,0.251314534
0.755397047,0.185388753
0.803246472,0.15413609
0.641641079,0.223797555
0.897076808,0.23953207
0.767597659,0.217909647
0.834607366,0.215455154
0.709613612,0.203281151
0.698878969,0.210623536
0.714907638,0.25173042
0.606265386,0.211932547
0.659160824,0.20804763
0.789058471,0.219105646
0.736201956,0.170671043
0.767556672,0.175021873
0.731233919,0.185345398
0.813975471,0.201756052
0.752499769,0.20925158
0.670934132,0.254730161
0.575048331,0.218539995
0.777353395,0.210250172
0.814637439,0.185938226
0.77744442,0.170714184
0.720188924,0.185229222
0.809045688,0.200285089
0.669329688,0.206144684
0.831597674,0.212639468
0.797567691,0.210531846
0.86805202,0.147078968
0.617722297,0.270571937
0.647396908,0.207441222
0.807842778,0.225072784
0.623548374,0.199448695
0.727319538,0.227709685
0.787693287,0.167035178
0.744247627,0.169594486
0.729673298,0.206006266
0.853035976,0.270452289
0.582797535,0.177761204
0.776664893,0.234108492
0.71206901,0.187727734
0.839633524,0.192882438
0.845828375,0.205890947
0.614106439,0.263356351
0.676657355,0.217502721
0.811187987,0.205197066
0.824976867,0.212814376
0.762564279,0.18980826
0.72080291,0.162128221
0.750539083,0.202303414
0.719849794,0.18483471
0.689664203,0.151157513
0.727882784,0.204562805
0.736235083,0.205208518
0.666160258,0.253422413
0.722661114,0.194897067
0.738559986,0.175821132
0.731661033,0.214057281
0.80423983,0.209526307
0.681140862,0.192729838
0.832801676,0.207111867
0.729441604,0.242706602
0.787339223,0.189149218
0.679218758,0.219844239
0.80148009,0.219035024
0.788539973,0.152460634
0.667682695,0.213666843
0.741035905,0.183154247
0.758259084,0.224348154
0.710288897,0.233306078
0.76356298,0.221115108
0.773187937,0.216455813
0.699021828,0.2438719
0.818905193,0.188700768
0.808059278,0.164571736
0.715436408,0.190642214
0.745437435,0.240949007
0.729470863,0.181742204
0.792898831,0.18154445
0.638998195,0.211299096
0.76488093,0.167555107
0.641377009,0.236545962
0.769568385,0.151733092
0.596465039,0.199351
0.772874273,0.196238412
0.77150129,0.160618662
0.768753495,0.225009353
0.744184773,0.156680405
0.678085665,0.202345836
0.692093472,0.212060842
0.847697595,0.170329461
0.726758524,0.173834216
0.861313329,0.199572884
0.666231998,0.202781937
0.76249513,0.164797608
0.803091002,0.238653213
0.696445091,0.167869224
0.742203009,0.190164452
0.564794463,0.195713419
0.773795419,0.273228373
0.696448813,0.238494507
0.817381701,0.181016858
0.79863942,0.17750465
0.693344418,0.169531977
0.674976907,0.22085721
0.732604451,0.214916317
0.720284451,0.194003006
0.83119802,0.243046463
0.699319523,0.216271184
0.84127493,0.216054892
0.860442606,0.194318912
0.759557156,0.247802222
0.744000898,0.226261159
0.696216757,0.244020206
0.770406613,0.19980564
0.789272083,0.198989438
0.747674944,0.176219061
0.652574116,0.208030036
0.737227906,0.188258636
0.585543207,0.200858573
0.729620403,0.150662445
0.74251467,0.187162084
0.625804466,0.196333586
0.801829128,0.154001606
0.636189215,0.194809725
0.685416034,0.1924986
0.616030479,0.217318616
0.808033869,0.265002848
0.668043698,0.190741498
0.699928611,0.192198348
0.6959398,0.212051239
0.678472353,0.207980042
0.660382224,0.203589149
0.855973575,0.185075402
0.60088964,0.159540677
0.724440001,0.215614028
0.695128655,0.195947831
0.837726509,0.220453138
0.649519982,0.135520309
0.736380823,0.194341881
0.761554222,0.184122428
0.886191045,0.210257843
0.719218871,0.177257113
0.646698289,0.202736624
0.715263293,0.21844429
0.768703553,0.222185173
0.711899071,0.193957426
0.65177816,0.170667796
0.740694036,0.207715835
0.695546574,0.182669504
0.647315841,0.213410843
0.806808016,0.175310415
0.703659121,0.20248529
